epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,436.266,1.20077,1.01795,1.55516,0.8805,0.7963,0.88164,0.57298,1.31285,0.79165,1.63649,0.0005941,0.0005941,0.0005941
43,445.547,1.20761,1.06155,1.55839,0.82463,0.85185,0.90234,0.57028,1.27106,0.81205,1.59086,0.0005842,0.0005842,0.0005842
44,454.829,1.17235,1.021,1.50982,0.8304,0.90741,0.9005,0.61151,1.13825,0.70721,1.53774,0.0005743,0.0005743,0.0005743
45,464.132,1.15722,0.99786,1.52143,0.92415,0.90264,0.9652,0.60344,1.22208,0.67612,1.54154,0.0005644,0.0005644,0.0005644
46,473.501,1.14451,0.98302,1.50349,0.81094,0.85185,0.88791,0.53579,1.35455,0.82273,1.65877,0.0005545,0.0005545,0.0005545
47,482.873,1.1695,1.00226,1.53559,0.84468,0.90638,0.89997,0.57469,1.29383,0.71506,1.67299,0.0005446,0.0005446,0.0005446
48,492.148,1.15453,1.02729,1.53597,0.88277,0.87037,0.91707,0.57712,1.28235,0.78276,1.61678,0.0005347,0.0005347,0.0005347
49,501.44,1.17787,1.02149,1.54731,0.87937,0.90741,0.89622,0.57454,1.22444,0.7724,1.55181,0.0005248,0.0005248,0.0005248
50,510.769,1.13663,0.98961,1.50504,0.92263,0.8834,0.91414,0.58471,1.25321,0.7874,1.63521,0.0005149,0.0005149,0.0005149
51,520.046,1.11193,0.95538,1.48514,0.92628,0.93074,0.97607,0.56652,1.35254,0.7333,1.66203,0.000505,0.000505,0.000505
52,529.512,1.14412,0.97399,1.52144,0.90497,0.88183,0.93329,0.595,1.25998,0.73299,1.57774,0.0004951,0.0004951,0.0004951
53,538.961,1.1259,0.97508,1.50784,0.89028,0.9016,0.92965,0.60794,1.1924,0.70642,1.58934,0.0004852,0.0004852,0.0004852
54,548.942,1.11397,0.95932,1.50156,0.87468,0.90479,0.90336,0.58209,1.25745,0.7263,1.58905,0.0004753,0.0004753,0.0004753
55,564.647,1.14575,1.00684,1.53572,0.86475,0.85185,0.92492,0.60858,1.19131,0.66576,1.54699,0.0004654,0.0004654,0.0004654
